Measure,pVal,tVal,coef,R2,R2adj,Fstat,Fstat_pVal,significant,pVal_FDR
CogStatus,1.5860721791922797e-13,-7.406930047623168,-0.0316511006314767,0.3768286363915647,0.37633326964783775,760.7063678851172,0.0,True,5.709859845092206e-13
SleepScore,0.022026904168384192,-2.290851096002787,-0.014731603578246122,0.003578189476577176,0.0027861212647143363,4.517526928851075,0.0036198358121481786,True,0.036044025002810495
EpisodicMemory,0.09442536336459247,1.6729537490430761,0.054939269672063154,0.2362751667025721,0.2356235243533421,362.58411839224794,3.6749934890245297e-205,False,0.13074281081251266
ExecFxnCogFlex,0.00038168888848507304,-3.555872413336315,-0.08576907939397325,0.30788658456013895,0.3072963798283823,521.6606509470198,1.956439127922485e-280,True,0.0007633777769701461
ExecFxnInhib,7.579015293867787e-10,-6.170518937911585,-0.14123335161300848,0.4400652300082363,0.43958828386684634,922.6727963996037,0.0,True,1.7052784411202522e-09
LangRead,1.0194041131776556e-17,-8.617209649907968,-0.19937567439144002,0.13081864533531096,0.13007891652283043,176.84676212168515,8.257435432865312e-107,True,4.5873185092994504e-17
LangVocab,2.490402777999516e-12,-7.028785687792165,-0.1852063377403634,0.04935643962854552,0.04854715169406365,60.987489774131674,1.957860298306407e-38,True,7.471208333998549e-12
ProcSpeed,0.4607748164836297,0.737652379122901,0.029295148913482876,0.29888207452202953,0.29828537841523983,500.89496331729316,4.172658966395498e-271,False,0.5529297797803556
WM,0.029256213183641126,-2.180906588837549,-0.0611792517966151,0.24114938647805295,0.24050355616867258,373.394346743211,1.3886808520725737e-210,True,0.04388431977546169
FluidCog,0.4936189900160327,-0.6846362046846195,-0.018761525210891847,0.4510128792681599,0.45054083531224265,955.4467833227777,0.0,False,0.5553213637680369
ChildCog,0.001009851273489666,-3.29054713357465,-0.08349675546483623,0.38870981610454514,0.38818510350034297,740.8051817158617,0.0,True,0.0018177322922813988
TotalCog,8.828190555893356e-11,-6.505838703781242,-0.2090476771645669,0.33554643859037014,0.33497494756851554,587.1420998031584,6.52777368152729e-309,True,2.270106142944006e-10
CrystalCog,7.283448181008833e-18,-8.656658225951523,-0.2081293320287794,0.10006078944393526,0.09929139142978072,130.050750850834,6.964332632493772e-80,True,4.3700689086053e-17
MotorEndurance,0.8230033171033853,0.22370038182133417,0.010383046506064562,0.28132517186694794,0.2807180120572045,463.34616908487055,4.736521548148716e-254,False,0.8230033171033853
MotorGaitSpeed,0.15363763789026175,-1.4271043659411893,-0.0008842990095484066,0.062432412042725205,0.06164121576596793,78.90887997932876,2.049150411712666e-49,False,0.19753410585890796
MotorDext,1.5290990265006875e-62,-17.024425451959928,-0.729243827935958,0.6102904864438568,0.6099616176560456,1855.726384087321,0.0,True,2.7523782477012376e-61
MotorStrength,1.3256009163684372e-39,-13.332167843620516,-0.2819480890188236,0.6509251911070707,0.6506304473900206,2208.4446705833016,0.0,True,1.1930408247315936e-38
UKBfluidCog,0.5744329655633753,0.5616503684371753,0.005303793525759892,0.008365790755666569,0.006505313815245661,4.496583953238366,0.0037802064721829958,False,0.6082231400082797
